id,product_id,quantity,last_checked_at
1,1,50,2025-02-14T00:00:00
2,2,30,2025-02-14T00:00:00
3,3,70,2025-02-14T00:00:00
4,4,10,2025-02-14T00:00:00
5,5,20,2025-02-14T00:00:00
6,6,100,2025-02-14T00:00:00
7,7,80,2025-02-14T00:00:00
8,8,50,2025-02-14T00:00:00
9,9,200,2025-02-14T00:00:00
10,10,150,2025-02-14T00:00:00
11,11,150,2025-02-14T00:00:00
12,12,120,2025-02-14T00:00:00
13,13,90,2025-02-14T00:00:00
14,14,60,2025-02-14T00:00:00
15,15,45,2025-02-14T00:00:00
16,16,35,2025-02-14T00:00:00
17,17,25,2025-02-14T00:00:00
18,18,55,2025-02-14T00:00:00
19,19,40,2025-02-14T00:00:00
20,20,85,2025-02-14T00:00:00
21,21,75,2025-02-14T00:00:00
22,22,95,2025-02-14T00:00:00
23,23,110,2025-02-14T00:00:00
24,24,130,2025-02-14T00:00:00
25,25,50,2025-02-14T00:00:00
26,26,15,2025-02-14T00:00:00
27,27,10,2025-02-14T00:00:00
28,28,170,2025-02-14T00:00:00
29,29,200,2025-02-14T00:00:00
30,30,250,2025-02-14T00:00:00
